Dis Mag Value,Latitude,Longitude,Affected
8,14.0,-91.0,RED
9,1.51,78.46,RED
6,44.05,6.14,RED
6,9.8,-84.0,RED
6,36.0,4.0,RED
8,-3.924,101.82,GREEN
7,28.0,104.0,GREEN
6,14.38,-90.22,GREEN
7,23.5,117.0,GREEN
9,-28.553,-70.755,GREEN
7,31.295,100.75,GREEN
7,-1.29,-78.52,GREEN
7,-7.21,109.56,RED
7,25.713,100.42200000000001,RED
7,30.03,31.15,RED
6,-0.8420000000000001,120.764,GREEN
6,-0.8420000000000001,120.764,GREEN
7,48.6,58.0,GREEN
7,35.28,71.4,GREEN
7,38.0,23.44,GREEN
3,8.3,121.7,GREEN
7,0.5,126.0,RED
8,31.9,103.4,RED
7,6.1,94.7,GREEN
7,3.5,97.5,GREEN
8,-0.557,118.881,RED
6,5.5520000000000005,-0.628,RED
6,5.5520000000000005,-0.628,RED
6,-0.025,-79.955,RED
8,-31.432,-71.475,GREEN
7,-8.591000000000001,109.803,RED
7,-31.372,68.436,RED
8,-26.5,-70.5,RED
8,19.25,-69.0,RED
8,35.75,5.0,RED
7,-1.5,-78.2,RED
7,-38.0,-73.5,YELLOW
8,-54.0,-71.0,GREEN
9,28.5,96.5,GREEN
9,7.8,-72.5,RED
9,18.3,73.2,RED
8,-37.093,-72.866,GREEN
6,34.741,32.335,RED
7,38.181999999999995,20.941999999999997,RED
7,-22.1,-68.7,GREEN
7,36.283,1.4669999999999999,RED
7,36.0,66.0,RED
7,39.3,22.2,YELLOW
8,30.0,101.8,YELLOW
6,32.2,29.6,GREEN
8,36.664,25.956999999999997,BLUE
8,35.1,67.5,RED
8,37.0,-4.0,BLUE
6,23.0,70.0,ORANGE
6,23.0,70.0,GREEN
7,-9.5,112.5,RED
10,-38.143,-73.407,RED
6,36.0,4.1,RED
7,10.4,39.9,RED
6,40.9,19.5,YELLOW
7,5.172999999999999,-76.352,ORANGE
5,38.8,-28.4,RED
8,-2.608,-125.95200000000001,RED
7,-32.522,-71.233,RED
6,35.7,4.4,RED
6,39.4,24.0,RED
8,-25.494,-70.55,RED
6,39.2,22.0,RED
6,37.5,22.1,RED
6,-3.7,119.3,BLUE
7,41.386,20.531999999999996,YELLOW
7,2.8489999999999998,-74.798,RED
5,43.2,-0.5,RED
6,39.5,21.2,RED
6,-8.965,113.01700000000001,RED
7,17.412,73.885,RED
7,39.368,24.956999999999997,RED
7,-31.566,117.071,RED
8,0.157,119.802,RED
6,22.316999999999997,111.8,RED
6,11.9,41.21,RED
7,-3.201,118.904,RED
7,24.185,102.54299999999999,RED
7,6.375,-77.438,RED
7,-4.026,-80.542,RED
5,21.7,73.0,YELLOW
8,-32.601,-71.07600000000001,RED
7,10.679,-84.759,RED
7,40.641,122.58,RED
7,32.455,78.43,RED
6,36.61,67.79,RED
6,30.37,104.06,RED
6,30.37,104.06,GREEN
7,0.782,79.804,GREEN
7,0.14,78.3,RED
7,-4.603,140.091,RED
7,-8.17,114.88799999999999,RED
7,-4.5169999999999995,139.918,RED
8,-11.164000000000001,118.37799999999999,RED
7,-31.028000000000002,-67.767,RED
6,45.77,26.76,YELLOW
6,45.77,26.76,GREEN
6,40.739000000000004,23.229,RED
8,40.5,142.5,GREEN
6,40.8,72.3,RED
6,39.09,42.3,RED
7,37.4,142.6,RED
7,38.67,16.07,RED
8,37.67,-122.48,RED
7,23.6,170.5,RED
7,18.2,-76.8,RED
7,18.2,-76.8,RED
8,33.55,48.48,RED
8,35.34,-5.22,RED
8,40.41,27.15,RED
6,-14.2,-72.9,RED
7,43.5,25.5,RED
7,39.2,139.8,RED
6,32.47,-115.33,RED
8,8.29,124.4,RED
8,18.06,-67.54,RED
6,44.3,10.3,RED
6,35.2,59.2,RED
6,34.25,119.41,RED
6,31.921999999999997,35.633,RED
7,35.632,135.013,RED
7,35.632,135.013,RED
7,38.25,27.1,ORANGE
8,-41.55,172.25,ORANGE
7,37.8,57.8,RED
8,17.86,96.43,RED
7,38.086999999999996,44.781000000000006,RED
6,40.922,15.377,RED
7,35.05,139.129,RED
7,18.233,96.29799999999999,RED
6,13.2,-85.7,RED
7,-39.659,176.42,RED
8,11.117,161.11,RED
6,33.62,117.97,RED
8,39.224000000000004,144.622,RED
8,39.224000000000004,144.622,RED
6,24.3,124.3,RED
7,24.6,120.8,RED
7,39.508,33.872,RED
6,39.7,10.4,RED
6,39.209,27.164,BLUE
8,-10.5,-77.0,RED
7,45.8,26.8,RED
7,38.4,35.5,RED
7,32.733000000000004,-115.5,RED
7,22.408,99.814,RED
7,40.87,36.732,RED
7,35.448,133.993,RED
5,-14.2,-71.5,RED
8,40.916,33.562,RED
8,33.681999999999995,36.204,RED
8,40.696,32.992,RED
7,39.501999999999995,26.596,RED
7,34.611999999999995,137.064,RED
8,24.927,63.601000000000006,RED
8,24.927,63.601000000000006,RED
8,24.927,63.601000000000006,RED
8,33.116,135.895,RED
9,53.492,-162.832,RED
7,-8.41,-77.535,RED
7,39.826,54.648,RED
6,39.3,41.2,RED
7,33.621,58.643,RED
8,-10.972999999999999,-74.725,RED
8,-10.972999999999999,-74.725,RED
7,36.5,136.0,RED
8,10.5,122.0,RED
7,39.2,70.8,RED
7,39.0,40.5,RED
7,47.167,-122.617,RED
6,-13.5,-72.0,YELLOW
6,13.0,-87.5,YELLOW
7,13.3,-87.8,YELLOW
7,40.8,33.4,YELLOW
8,42.083999999999996,143.899,YELLOW
8,52.623000000000005,159.779,YELLOW
5,36.5,35.5,YELLOW
6,39.9,41.7,ORANGE
8,34.958,-118.99799999999999,YELLOW
6,35.333,-118.917,ORANGE
6,35.333,-118.917,ORANGE
7,35.385,54.979,ORANGE
7,-3.552,-80.63600000000001,RED
7,40.175,27.648000000000003,RED
7,13.0,123.9,YELLOW
6,7.6739999999999995,124.081,RED
6,27.406999999999996,54.461999999999996,RED
6,35.5,35.5,YELLOW
8,16.5,-99.1,BLUE
8,33.4,52.5,BLUE
7,36100.0,52700.0,RED
7,34.3,47.8,RED
8,45.5,99.5,RED
6,36.2,8.9,RED
7,40.7,30.9,YELLOW
7,34.4,47.9,RED
7,-16.5,-72.0,RED
7,44.711999999999996,-111.215,RED
6,18.22,-94.416,YELLOW
6,18.22,-94.416,YELLOW
8,-15.75,-72.75,YELLOW
10,-15.75,-72.75,YELLOW
6,28.0,54.5,YELLOW
6,28.0,54.5,YELLOW
6,41.4,15.5,RED
5,32.6,21.0,RED
7,38.67,139.195,RED
9,60.908,-147.339,RED
7,18.136,-100.605,RED
7,40.203,28.206,RED
7,23.2,120.6,RED
7,2.31,32.56,RED
6,13.5,-89.3,RED
7,47.4,-122.3,RED
8,-10.665,-78.22800000000001,RED
6,29.706,80.935,RED
6,41.2,69.1,RED
6,38.5,41.3,RED
7,39.235,41.571999999999996,RED
1,0.622,29.863000000000003,RED
7,40.751,30.8,RED
7,40.5,140.43,RED
6,15.5,-92.7,RED
6,16.316,122.06700000000001,ORANGE
7,41.86,32.463,RED
5,39.2,44.3,RED
7,34.158,59.083,RED
6,37.702,13.033,RED
5,12.1,-86.2,RED
7,-41.659,172.02,RED
7,-5.61,-77.086,RED
6,37.1,57.9,RED
7,-11.841,-75.051,RED
7,38.515,28.546,RED
7,-4.999,145.39600000000002,RED
7,37.733000000000004,55.885,RED
7,-4.026,-80.542,RED
7,15.790999999999999,121.63,YELLOW
7,39.098,29.57,RED
5,42.5,11.8,RED
6,37.6,29.8,RED
7,38.934,40.653,RED
7,34.416,-118.37,RED
7,28.415,52.765,RED
5,43.8,13.3,RED
6,12.184000000000001,-86.223,RED
6,36.0,73.4,RED
6,-6.855,-76.726,RED
8,18.480999999999998,-102.99600000000001,RED
7,18.267,-96.598,RED
7,13.372,122.787,BLUE
7,34.522,138.74,BLUE
6,35.1,72.9,RED
8,-12.265,-77.795,RED
8,-7.104,155.15200000000002,RED
7,38.474000000000004,40.723,RED
8,6.2620000000000005,124.023,RED
6,33.8,59.15,RED
6,66.157,-16.582,GREEN
7,46.356,13.275,RED
7,46.356,13.275,RED
8,-28.427,-177.657,RED
7,40.381,63.472,RED
5,41.13,43.01,GREEN
5,37.7,28.89,RED
7,39.121,44.028999999999996,RED
7,-9.828,160.32299999999998,RED
7,27.609,56.393,RED
6,31.98,50.68,RED
5,38.934,44.38,GREEN
5,27.69,56.57,GREEN
6,30.95,56.47,RED
7,16.773,122.32700000000001,RED
8,45.772,26.761,RED
7,-22.878,-175.9,RED
5,38.56,40.02,RED
7,34.809,139.259,RED
6,38.391,15.065999999999999,RED
8,38.19,142.028,RED
6,16.4,43.5,RED
7,10.5,-68.0,RED
6,42.1,21.3,RED
7,42.1,21.3,RED
7,10.559000000000001,-67.33,RED
7,42.0,21.28,RED
5,42.1,19.3,RED
6,44.9,17.3,RED
6,-33.268,19.386,RED
6,48.29,9.01,ORANGE
5,14.321,-90.08200000000001,RED
8,1.598,-79.358,RED
7,42.096000000000004,19.209,RED
5,31.451999999999998,119.241,RED
6,41.145,108.12899999999999,RED
7,4.805,-76.217,RED
7,43.7,7.25,GREEN
7,36.195,1.354,RED
7,38.815,-27.78,RED
6,-1.9480000000000002,-80.017,GREEN
6,39.203,22.729,GREEN
5,8.117,-72.527,GREEN
6,39.481,20.699,RED
7,30.927,101.098,RED
7,38.222,22.934,RED
7,36.148,69.01100000000001,RED
6,40.883,19.59,RED
6,31.906999999999996,99.931,GREEN
5,14.53,87.72,RED
7,9.652000000000001,-83.68799999999999,RED
7,34.01,71.4,RED
5,50.37,5.31,RED
7,-26.535,-70.563,RED
5,35.205999999999996,115.213,RED
5,2.461,-76.686,RED
7,8.717,-83.12299999999999,RED
6,11.866,-13.529000000000002,RED
6,38.294000000000004,20.262,RED
6,34.26,70.28,GREEN
7,-33.053000000000004,-68.467,RED
8,-33.135,-71.87100000000001,RED
6,25.926,102.87100000000001,ORANGE
7,39.431,75.22399999999999,RED
6,36.46,6.791,RED
5,15.299000000000001,-90.863,RED
5,43.12,25.57,RED
5,3.58,62.42,RED
6,31.24,86.84700000000001,ORANGE
6,37.02,22.07,RED
5,15.075,92.072,RED
7,-19.022000000000002,-69.991,RED
7,0.151,-77.785,RED
6,-0.978,-78.05,GREEN
6,41.528999999999996,79.318,RED
5,24.924,115.60799999999999,RED
4,35.964,1.374,RED
6,37.938,20.932,GREEN
7,13.880999999999998,-90.45,RED
6,24.688000000000002,991.57,BLUE
6,38.111,106.336,RED
8,22.789,99.611,RED
5,36.443000000000005,2.759,ORANGE
6,13.880999999999998,-90.45,RED
6,32.14,49.65,BLUE
8,16.01,-96.59100000000001,RED
8,-1.679,136.04,RED
8,8.8,123.5,GREEN
6,8.21,115.95,RED
6,-7.656000000000001,108.25200000000001,RED
7,-3.299,102.712,RED
6,-8.39,115.889,RED
7,33.897,59.472,RED
7,33.918,59.74100000000001,RED
7,33.961999999999996,59.726000000000006,GREEN
6,42.812,13.061,RED
8,17.813,-101.27600000000001,RED
7,-16.39,-72.658,RED
7,-16.39,-72.658,RED
6,32.913000000000004,75.633,GREEN
6,34.586999999999996,50.652,GREEN
5,34.503,50.59,BLUE
6,35.4,51.26,BLUE
7,40.914,15.366,RED
6,35.45,139.964,BLUE
6,32.2,-115.12200000000001,BLUE
7,18.211,-98.24,RED
7,29.598000000000003,81.092,RED
5,-13.347000000000001,-74.545,RED
7,-4.5760000000000005,139.232,RED
6,35.693000000000005,73.594,RED
7,29.913,57.715,RED
7,30.013,57.794,RED
5,37.67,12.47,RED
5,41.051,14.600999999999999,RED
7,18.048,-102.084,GREEN
4,29.855999999999998,66.962,ORANGE
5,-13.165999999999999,-74.52199999999999,RED
5,-13.144,-74.376,GREEN
6,-8.405,123.08,RED
7,13.332,-89.387,RED
5,4.374,97.755,RED
7,42.158,142.361,RED
7,42.158,142.361,RED
4,43.163999999999994,12.585999999999999,RED
7,16.558,-98.35799999999999,GREEN
6,-12.69,-76.065,GREEN
6,50.21,18.51,RED
7,18.230999999999998,120.86,RED
5,35.953,52.263999999999996,RED
5,35.5,139.07,GREEN
8,40.461999999999996,139.102,BLUE
7,5.723,94.72200000000001,BLUE
6,36.948,49.18,RED
6,40.5,14.15,RED
7,36.372,70.738,RED
5,-4.843,-78.10300000000001,RED
6,5.392,151.868,RED
7,36.39,138.1,RED
7,32.5,130.42,GREEN
6,2.41,118.55,BLUE
5,1.3,98.0,RED
6,24.4,92.34,RED
6,43.07,12.23,RED
5,42.1,13.5,RED
5,37.31,15.06,RED
7,34.07,71.15,GREEN
6,-4.13,136.049,GREEN
5,28.399,52.997,RED
8,18.19,-102.53299999999999,RED
7,36.19,70.896,RED
6,-9.158999999999999,-78.887,RED
7,7.757999999999999,123.544,YELLOW
7,-5.599,151.045,YELLOW
7,4.0,142.0,RED
5,32.128,76.374,GREEN
6,29.962,51.582,RED
6,29.985,51.623000000000005,RED
