Disaster Subtype_Ground movement,Continent_Africa,Continent_Americas,Continent_Asia,Continent_Europe,Continent_Oceania,Dis Mag Value,Latitude,Longitude,Dead
1,0,0,1,0,0,8,-3.924,101.82,BLUE
1,0,0,1,0,0,7,28,104,RED
1,0,1,0,0,0,6,14.38,-90.22,RED
1,0,0,1,0,0,7,23.5,117,RED
1,0,1,0,0,0,9,-28.553,-70.755,RED
1,0,0,1,0,0,7,31.295,100.75,RED
1,0,1,0,0,0,7,-1.29,-78.52,YELLOW
1,0,0,1,0,0,7,-7.21,109.56,RED
1,0,0,1,0,0,7,25.713,100.422,RED
1,1,0,0,0,0,7,30.03,31.15,BLUE
1,0,0,1,0,0,6,-0.842,120.764,YELLOW
1,0,0,0,1,0,6,-0.842,120.764,RED
0,0,1,0,0,0,7,48.6,58,BLUE
1,0,1,0,0,0,7,35.28,71.4,RED
1,0,0,0,1,0,7,38,23.44,RED
0,0,0,1,0,0,3,8.3,121.7,RED
1,0,0,1,0,0,7,0.5,126,GREEN
1,0,0,1,0,0,8,31.9,103.4,RED
1,0,0,1,0,0,7,6.1,94.7,GREEN
1,0,0,1,0,0,7,3.5,97.5,BLUE
1,0,0,1,0,0,8,-0.557,118.881,BLUE
1,1,0,0,0,0,6,5.552,-0.628,BLUE
1,0,0,1,0,0,6,5.552,-0.628,BLUE
1,0,1,0,0,0,6,-0.025,-79.955,RED
1,0,1,0,0,0,8,-31.432,-71.475,BLUE
1,0,0,1,0,0,7,-8.591,109.803,RED
1,0,1,0,0,0,7,-31.372,68.436,RED
1,0,1,0,0,0,8,-26.5,-70.5,GREEN
1,0,1,0,0,0,8,19.25,-69,ORANGE
1,1,0,0,0,0,8,35.75,5,RED
1,0,1,0,0,0,7,-1.5,-78.2,RED
1,0,1,0,0,0,7,-38,-73.5,YELLOW
1,0,1,0,0,0,8,-54,-71,GREEN
1,0,0,1,0,0,9,28.5,96.5,RED
1,0,1,0,0,0,9,7.8,-72.5,RED
1,0,1,0,0,0,9,18.3,73.2,GREEN
1,0,1,0,0,0,8,-37.093,-72.866,BLUE
1,0,0,1,0,0,6,34.741,32.335,YELLOW
1,0,0,0,1,0,7,38.182,20.942,RED
1,0,1,0,0,0,7,-22.1,-68.7,GREEN
1,1,0,0,0,0,7,36.283,1.467,RED
1,0,0,1,0,0,7,36,66,RED
1,0,0,0,1,0,7,39.3,22.2,YELLOW
1,0,0,1,0,0,8,30,101.8,YELLOW
1,1,0,0,0,0,6,32.2,29.6,BLUE
1,0,0,0,1,0,8,36.664,25.957,ORANGE
1,0,0,1,0,0,8,35.1,67.5,ORANGE
1,0,0,0,1,0,8,37,-4,BLUE
1,0,0,1,0,0,6,23,70,RED
1,0,1,0,0,0,6,23,70,RED
1,0,0,1,0,0,7,-9.5,112.5,GREEN
0,0,1,0,0,0,10,-38.143,-73.407,RED
1,1,0,0,0,0,6,36,4.1,ORANGE
1,1,0,0,0,0,7,10.4,39.9,BLUE
1,0,0,0,1,0,6,40.9,19.5,BLUE
1,0,1,0,0,0,7,5.173,-76.352,YELLOW
