Disaster Subtype_Ground movement,Continent_Africa,Continent_Americas,Continent_Asia,Continent_Europe,Continent_Oceania,Dis Mag Value,Latitude,Longitude,Injured
1,0,0,1,0,0,8,-3.924,101.82,GREEN
1,0,0,1,0,0,7,28,104,GREEN
1,0,1,0,0,0,6,14.38,-90.22,GREEN
1,0,0,1,0,0,7,23.5,117,GREEN
1,0,1,0,0,0,9,-28.553,-70.755,GREEN
1,0,0,1,0,0,7,31.295,100.75,GREEN
1,0,1,0,0,0,7,-1.29,-78.52,GREEN
1,0,0,1,0,0,7,-7.21,109.56,GREEN
1,0,0,1,0,0,7,25.713,100.422,GREEN
1,1,0,0,0,0,7,30.03,31.15,GREEN
1,0,0,1,0,0,6,-0.842,120.764,BLUE
1,0,0,0,1,0,6,-0.842,120.764,BLUE
0,0,1,0,0,0,7,48.6,58,BLUE
1,0,1,0,0,0,7,35.28,71.4,BLUE
1,0,0,0,1,0,7,38,23.44,BLUE
0,0,0,1,0,0,3,8.3,121.7,BLUE
1,0,0,1,0,0,7,0.5,126,ORANGE
1,0,0,1,0,0,8,31.9,103.4,ORANGE
1,0,0,1,0,0,7,6.1,94.7,GREEN
1,0,0,1,0,0,7,3.5,97.5,GREEN
1,0,0,1,0,0,8,-0.557,118.881,GREEN
1,1,0,0,0,0,6,5.552,-0.628,ORANGE
1,0,0,1,0,0,6,5.552,-0.628,ORANGE
1,0,1,0,0,0,6,-0.025,-79.955,ORANGE
1,0,1,0,0,0,8,-31.432,-71.475,BLUE
1,0,0,1,0,0,7,-8.591,109.803,RED
1,0,1,0,0,0,7,-31.372,68.436,RED
1,0,1,0,0,0,8,-26.5,-70.5,RED
1,0,1,0,0,0,8,19.25,-69,RED
1,1,0,0,0,0,8,35.75,5,RED
1,0,1,0,0,0,7,-1.5,-78.2,RED
1,0,1,0,0,0,7,-38,-73.5,ORANGE
1,0,1,0,0,0,8,-54,-71,GREEN
1,0,0,1,0,0,9,28.5,96.5,GREEN
1,0,1,0,0,0,9,7.8,-72.5,GREEN
1,0,1,0,0,0,9,18.3,73.2,GREEN
1,0,1,0,0,0,8,-37.093,-72.866,BLUE
1,0,0,1,0,0,6,34.741,32.335,YELLOW
1,0,0,0,1,0,7,38.182,20.942,RED
1,0,1,0,0,0,7,-22.1,-68.7,GREEN
1,1,0,0,0,0,7,36.283,1.467,RED
1,0,0,1,0,0,7,36,66,RED
1,0,0,0,1,0,7,39.3,22.2,ORANGE
1,0,0,1,0,0,8,30,101.8,ORANGE
1,1,0,0,0,0,6,32.2,29.6,BLUE
1,0,0,0,1,0,8,36.664,25.957,YELLOW
1,0,0,1,0,0,8,35.1,67.5,RED
1,0,0,0,1,0,8,37,-4,YELLOW
1,0,0,1,0,0,6,23,70,RED
1,0,1,0,0,0,6,23,70,BLUE
1,0,0,1,0,0,7,-9.5,112.5,RED
0,0,1,0,0,0,10,-38.143,-73.407,RED
1,1,0,0,0,0,6,36,4.1,RED
1,1,0,0,0,0,7,10.4,39.9,RED
1,0,0,0,1,0,6,40.9,19.5,ORANGE
1,0,1,0,0,0,7,5.173,-76.352,RED
1,0,0,0,1,0,5,38.8,-28.4,RED
1,0,0,1,0,0,8,-2.608,-125.952,RED
1,0,1,0,0,0,7,-32.522,-71.233,RED
1,1,0,0,0,0,6,35.7,4.4,RED
1,0,0,0,1,0,6,39.4,24,RED
1,0,1,0,0,0,8,-25.494,-70.55,GREEN
1,0,0,0,1,0,6,39.2,22,BLUE
1,0,0,0,1,0,6,37.5,22.1,ORANGE
1,0,0,1,0,0,6,-3.7,119.3,YELLOW
1,0,0,0,1,0,7,41.386,20.532,ORANGE
1,0,1,0,0,0,7,2.849,-74.798,ORANGE
1,0,0,0,1,0,5,43.2,-0.5,YELLOW
1,0,0,0,1,0,6,39.5,21.2,YELLOW
1,0,0,1,0,0,6,-8.965,113.017,ORANGE
1,0,0,1,0,0,7,17.412,73.885,RED
1,0,0,0,1,0,7,39.368,24.957,GREEN
1,0,0,0,0,1,7,-31.566,117.071,GREEN
0,0,0,1,0,0,8,0.157,119.802,GREEN
1,0,0,1,0,0,6,22.317,111.8,GREEN
1,1,0,0,0,0,6,11.9,41.21,ORANGE
0,0,0,1,0,0,7,-3.201,118.904,YELLOW
1,0,0,1,0,0,7,24.185,102.543,YELLOW
1,0,1,0,0,0,7,6.375,-77.438,GREEN
1,0,1,0,0,0,7,-4.026,-80.542,ORANGE
1,0,0,1,0,0,5,21.7,73,ORANGE
1,0,1,0,0,0,8,-32.601,-71.076,RED
1,0,1,0,0,0,7,10.679,-84.759,YELLOW
1,0,0,1,0,0,7,40.641,122.58,YELLOW
1,0,0,1,0,0,7,32.455,78.43,YELLOW
1,0,0,1,0,0,6,36.61,67.79,YELLOW
1,0,0,1,0,0,6,30.37,104.06,YELLOW
1,0,1,0,0,0,6,30.37,104.06,GREEN
1,0,1,0,0,0,7,0.782,79.804,GREEN
1,0,1,0,0,0,7,0.14,78.3,GREEN
