Severity,Affected sq km,Magnitude (M),Centroid X,Centroid Y,Dead
1,1299.67,4.5,123.171,1.5659,GREEN
1.5,283444.21,6.8,113.645,29.6123,GREEN
1.5,57674.59,6,-98.38,23.9167,GREEN
1.5,464442.54,6.1,-91.2314,31.139,GREEN
2,49677.14,6.3,-77.1771,21.4518,GREEN
1.5,247.1,4.1,15.5739,44.41,GREEN
1.5,1332.63,4,1.7366,43.645,GREEN
1.5,17593.97,5.9,139.88,37.621,GREEN
1,184437.33,6.6,4.4226,14.6173,BLUE
2,84598.57,5.9,18.139,15.576,GREEN
1,86946.56,6.2,9.44993,8.16896,GREEN
2,219532.85,6.7,-81.6252,28.5942,YELLOW
2,1973.59,5.2,114.139,22.3851,GREEN
1.5,4765.56,4.6,-94.646,39.1877,GREEN
1.5,2917.95,5.3,-7.7468,54.3667,GREEN
1,59267.62,5.2,33.57,2.72692,GREEN
1,986533.98,6.7,29.6159,9.42341,GREEN
2,336227.2,6.1,-95.3388,3.1135,GREEN
1.5,64676.5,6.2,83.8784,27.949,YELLOW
1.5,19.94,6.4,9.148,24.5912,ORANGE
2,421575.24,7.2,79.76,28.1657,RED
1.5,26999.44,4.9,-12.251,8.4278,GREEN
1,193523.81,5.6,-99.5452,21.4878,GREEN
1.5,32837,5.4,17.978,-44.1524,GREEN
1.5,25766.72,5.3,9.926,52.9946,GREEN
1.5,22875.36,6.1,136.879,47.8978,GREEN
1.5,42978.95,5.7,74.57,35.4339,GREEN
1,23949.6,5.3,15.158,21.6577,GREEN
1,4389.39,5.8,88.848,22.961,BLUE
1,31956.12,5.3,7.9375,21.898,YELLOW
1.5,1724.25,5.2,14.417,39.21,YELLOW
1,2159.17,5.3,98.9472,22.6775,GREEN
1.5,122334.47,6.5,-67.5271,7.83511,GREEN
1.5,3337.42,4,-84.242,38.4883,GREEN
2,911.64,4.6,-111.62,34.2375,GREEN
1.5,24144.9,5.5,7.19827,1.79,GREEN
1,45514.5,5.1,3.33829,45.4855,GREEN
1,5426.54,5.3,86.427,27.295,GREEN
1,22247.34,6.3,72.3232,33.414,GREEN
1.5,551384.88,7,112.853,25.9426,GREEN
1,7143.43,5.7,-7.9912,-33.4188,GREEN
1.5,18198.36,6.5,1.11137,13.715,GREEN
1,873.64,4.4,125.249,7.76344,GREEN
1.5,3486.14,5.3,92.1427,22.2842,GREEN
1,65387.73,6.3,94.9387,27.6131,GREEN
1.5,16445.9,5,121.216,24.322,GREEN
1,5489.1,4.4,-87.2229,13.4982,GREEN
1,8984.6,5.7,-96.4275,16.8247,GREEN
1.5,2661.35,6.8,-38.238,-8.9623,GREEN
1.5,131888.36,6.1,-59.153,3.81464,GREEN
1,6977.91,5.3,-86.3816,37.5473,GREEN
1,213686.92,6.1,29.7149,-28.3624,GREEN
1.5,87427.72,6.4,-57.4317,-31.8884,GREEN
1.5,42725.96,6.2,8.8349,7.6124,GREEN
1.5,157698.57,6.1,-69.952,-27.1217,GREEN
1,5527.86,5.6,37.882,-2.87879,GREEN
