Severity,Affected sq km,Magnitude (M),Centroid X,Centroid Y,displace
1.0,1299.67,4.5,123.171,1.5659,GREEN
1.5,283444.21,6.8,113.645,29.6123,GREEN
1.5,57674.59,6.0,-98.38,23.9167,GREEN
1.5,464442.54,6.1,-91.2314,31.139,GREEN
2.0,49677.14,6.3,-77.1771,21.4518,GREEN
1.5,247.1,4.1,15.5739,44.41,GREEN
1.5,1332.63,4.0,1.7366,43.645,GREEN
1.5,17593.97,5.9,139.88,37.621,GREEN
1.0,184437.33,6.6,4.4226,14.6173,GREEN
2.0,84598.57,5.9,18.139,15.575999999999999,ORANGE
1.0,86946.56,6.2,9.44993,8.16896,GREEN
2.0,219532.85,6.7,-81.6252,28.5942,GREEN
2.0,1973.59,5.2,114.139,22.3851,GREEN
1.5,4765.56,4.6,-94.646,39.1877,BLUE
1.5,2917.95,5.3,-7.7468,54.3667,GREEN
1.0,59267.62,5.2,33.57,2.7269200000000002,GREEN
1.0,986533.98,6.7,29.6159,9.42341,GREEN
2.0,336227.2,6.1,-95.3388,3.1135,GREEN
1.5,64676.5,6.2,83.8784,27.949,GREEN
1.5,19.94,6.4,9.148,24.5912,GREEN
2.0,421575.24,7.2,79.76,28.1657,RED
1.5,26999.44,4.9,-12.251,8.4278,GREEN
1.0,193523.81,5.6,-99.5452,21.4878,GREEN
1.5,32837.0,5.4,17.977999999999998,-44.1524,YELLOW
1.5,25766.72,5.3,9.926,52.9946,GREEN
1.5,22875.36,6.1,136.879,47.8978,BLUE
1.5,42978.95,5.7,74.57,35.4339,BLUE
1.0,23949.6,5.3,15.158,21.6577,BLUE
1.0,4389.39,5.8,88.848,22.961,BLUE
1.0,31956.12,5.3,7.9375,21.898000000000003,GREEN
1.5,1724.25,5.2,14.417,39.21,GREEN
1.0,2159.17,5.3,98.9472,22.6775,GREEN
1.5,122334.47,6.5,-67.5271,7.83511,GREEN
1.5,3337.42,4.0,-84.242,38.4883,GREEN
2.0,911.64,4.6,-111.62,34.2375,GREEN
1.5,24144.9,5.5,7.19827,1.79,GREEN
1.0,45514.5,5.1,3.33829,45.4855,GREEN
1.0,5426.54,5.3,86.427,27.295,GREEN
1.0,22247.34,6.3,72.3232,33.414,GREEN
1.5,551384.88,7.0,112.853,25.9426,GREEN
1.0,7143.43,5.7,-7.9912,-33.4188,GREEN
1.5,18198.36,6.5,1.11137,13.715,GREEN
1.0,873.64,4.4,125.249,7.763439999999999,GREEN
1.5,3486.14,5.3,92.1427,22.2842,GREEN
1.0,65387.73,6.3,94.9387,27.6131,ORANGE
1.5,16445.9,5.0,121.21600000000001,24.322,GREEN
1.0,5489.1,4.4,-87.2229,13.4982,GREEN
1.0,8984.6,5.7,-96.4275,16.8247,GREEN
1.5,2661.35,6.8,-38.238,-8.9623,GREEN
1.5,131888.36,6.1,-59.153,3.8146400000000003,GREEN
1.0,6977.91,5.3,-86.3816,37.5473,GREEN
1.0,213686.92,6.1,29.7149,-28.3624,GREEN
1.5,87427.72,6.4,-57.4317,-31.8884,YELLOW
1.5,42725.96,6.2,8.8349,7.6124,RED
1.5,157698.57,6.1,-69.952,-27.1217,GREEN
1.0,5527.86,5.6,37.882,-2.87879,GREEN
1.0,1416.82,6.0,112.95200000000001,23.866999999999997,GREEN
1.5,79149.2,6.1,-74.458,45.5748,RED
1.5,13333.9,6.1,-81.5814,34.9912,RED
1.5,48298.66,6.6,-91.1819,37.5744,RED
1.5,24676.67,5.6,-69.85300000000001,18.9198,RED
1.0,37654.52,5.8,89.5446,25.311,RED
1.5,397487.68,6.7,7.468,51.2542,GREEN
1.5,273962.64,6.8,-62.6279,-27.4231,GREEN
2.0,487.87,5.8,46.1693,37.743,GREEN
1.5,27377.3,5.8,-67.9388,-45.9533,GREEN
2.0,2353.76,5.9,176.79,-38.242,GREEN
1.0,2445.78,5.6,33.8718,-1.3642,GREEN
1.0,16281.3,5.5,9.6828,24.3178,GREEN
2.0,258485.66,6.8,148.68200000000002,-21.975,GREEN
1.0,242.58,5.7,13.6563,-8.71752,RED
2.0,28634.32,5.7,-76.1131,2.1871,RED
1.0,248928.28,6.5,17.462,-2.5698,RED
1.0,75112.79,5.6,-116.12299999999999,45.5453,RED
1.0,2821.28,5.4,-1.33823,38.498000000000005,RED
1.0,18863.13,5.1,29.8386,-1.9573,YELLOW
1.0,138.28,6.1,15.76,-31.6956,YELLOW
2.0,81942.34,7.9,-75.1481,-11.42,GREEN
1.5,16376.91,6.6,29.22,-18.6428,GREEN
1.0,128596.78,6.1,-72.6737,3.7225800000000002,GREEN
1.0,4253.83,5.6,17.162,-7.292999999999999,GREEN
1.0,226179.81,6.5,3.5561,-27.2717,GREEN
2.0,183781.3,6.5,-7.2489,-3.9395,GREEN
1.5,126994.99,6.5,-12.825,38.84,GREEN
1.0,7889.78,6.1,12.460999999999999,3.93172,GREEN
1.0,117321.46,6.6,-76.2863,1.6911,GREEN
1.0,288499.13,6.3,-77.57300000000001,-5.2583,GREEN
1.5,3389.11,5.5,124.62,7.5946,RED
1.5,12896.69,6.9,34.5151,-2.7778,GREEN
1.0,74443.11,5.2,-119.43,35.839,GREEN
1.0,13364.22,5.3,-85.3672,15.585,GREEN
1.0,46236.69,5.4,125.27,8.8572,GREEN
1.0,386846.74,6.8,-55.5512,-29.494,YELLOW
1.5,1747.26,5.5,-122.458,39.6236,BLUE
1.5,18991.85,5.1,9.58328,54.753,BLUE
1.5,52.11,6.5,1.61,7.3494,GREEN
1.5,4358.48,5.6,12.411,4.729,GREEN
1.0,9922.22,6.0,34.2182,38.4787,GREEN
1.5,44341.22,6.1,17.85,15.4331,GREEN
1.5,1155717.36,7.3,133.489,-21.5215,GREEN
1.5,445992.61,6.9,-59.871,-33.778,GREEN
1.5,162268.82,6.7,14.722999999999999,-5.34759,BLUE
1.0,36417.46,5.6,27.3395,38.751,BLUE
1.0,2485.81,5.3,12.56,5.12197,GREEN
1.5,67395.39,5.8,1.7530000000000001,14.4448,GREEN
1.5,37984.59,5.7,18.572,12.734000000000002,GREEN
1.0,31195.25,6.2,-65.89399999999999,-12.843,GREEN
1.0,22578.75,5.2,-76.4842,2.8694,GREEN
1.5,6882.43,5.7,-4.4866,37.61,GREEN
1.5,69965.95,6.2,-85.1445,11.67,GREEN
1.5,16543.1,5.0,19.4463,42.2541,GREEN
1.0,3798.38,5.1,-7.1252,18.9199,GREEN
1.0,4534.1,4.4,-72.5871,19.7388,GREEN
1.0,322162.36,6.4,-99.7926,23.273000000000003,GREEN
1.0,11225.49,5.3,123.245,0.64869,BLUE
1.5,281856.22,7.1,-55.6697,-34.6637,GREEN
1.5,2826.17,5.7,34.7625,24.3954,GREEN
2.0,63641.54,6.6,17.68,16.38,GREEN
1.0,11391.29,6.3,14.219000000000001,-34.2934,GREEN
1.0,57182.5,5.7,27.5622,45.151,GREEN
1.0,13988.78,4.8,2.1111,41.5692,GREEN
1.0,19889.49,5.0,31.3479,47.2563,GREEN
1.5,137435.4,6.7,8.341000000000001,17.6536,GREEN
1.5,25537.31,5.5,128.528,35.829,GREEN
1.5,17187.43,5.5,1.395,14.8667,GREEN
