Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,Dead,Injured,Affected
1900-0009-TUR,1900,9,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Turkey,TUR,Western Asia,Asia,"KARS,KARAKURT,KAGIZMAN,DIGOR",0,0,0,0,0,0,0,6,Richter,40.3,43.1,09:25,0,1900,7,12,1900,7,12,140,0,0,0,0,0,0,0,3.2613889831939,RED,GREEN,GREEN
1901-0004-JPN,1901,4,Natural,Geophysical,Earthquake,Tsunami,0,0,Kill,Japan,JPN,Eastern Asia,Asia,Sanriku,Earthquake,Tsunami/Tidal wave,0,0,0,0,0,8,Richter,40.5,142.5,03:33,0,1901,8,10,1901,8,10,18,0,0,24,24,0,0,0,3.2613889831939,BLUE,GREEN,GREEN
1902-0012-GTM,1902,12,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Guatemala,GTM,Central America,Americas,"Quezaltenango, San Marcos",0,Tsunami/Tidal wave,0,0,0,0,0,8,Richter,14,-91,20:20,0,1902,4,18,1902,4,18,2000,0,0,0,0,0,0,25000,3.3918445425216,RED,GREEN,GREEN
1902-0011-SUN,1902,11,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Soviet Union,SUN,Russian Federation,Europe,"Andishan,Tashkent (Uzbekistan)",0,0,0,0,0,0,0,6,Richter,40.8,72.3,09:44,0,1902,12,16,1902,12,16,4562,0,125112,0,125112,0,0,0,3.3918445425216,RED,GREEN,RED
1902-0013-AZE,1902,13,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Azerbaijan,AZE,Western Asia,Asia,Semacha,0,0,0,0,0,0,0,7,Richter,40.7,48.6,13:39,0,1902,2,13,1902,2,13,86,60,17480,0,17540,0,0,0,3.3918445425216,ORANGE,YELLOW,RED
1902-0014-CHN,1902,14,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,China,CHN,Eastern Asia,Asia,"XINJIANG, TURKESTAN",0,0,0,0,0,0,0,8,Richter,39.88,76.2,04:50,0,1902,8,22,1902,8,22,2500,0,0,0,0,0,0,0,3.3918445425216,RED,GREEN,GREEN
1903-0007-TUR,1903,7,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Turkey,TUR,Western Asia,Asia,Malazgirt,0,0,0,0,0,0,0,6,Richter,39.09,42.3,02:46,0,1903,4,29,1903,4,29,3560,0,60000,0,60000,0,0,0,3.5223001018494,RED,GREEN,RED
1903-0016-IRN,1903,16,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Kashmar,0,0,0,0,0,0,0,7,Richter,35.2,58.2,04:50,0,1903,9,25,1903,9,25,350,0,0,0,0,0,0,0,3.5223001018494,RED,GREEN,GREEN
1903-0014-ISR,1903,14,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Israel,ISR,Western Asia,Asia,Nabulus,0,0,0,0,0,0,0,6,Richter,32.2,35.3,0,0,1903,3,30,1903,3,30,20,0,0,0,0,0,0,0,3.5223001018494,BLUE,GREEN,GREEN
1903-0013-TUR,1903,13,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Turkey,TUR,Western Asia,Asia,0,0,0,0,0,0,0,0,0,Richter,39.1,42.4,0,0,1903,4,19,1903,4,19,1700,0,0,0,0,0,0,0,3.5223001018494,RED,GREEN,GREEN
1903-0015-TUR,1903,15,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Turkey,TUR,Western Asia,Asia,"VARGINIS,CARDAHLI,MEHKEREK",0,0,0,0,0,0,0,6,Richter,40.9,42.7,06:58,0,1903,5,28,1903,5,28,1000,0,0,0,0,0,0,0,3.5223001018494,RED,GREEN,GREEN
1904-0008-GRC,1904,8,Natural,Geophysical,Earthquake,Ground movement,0,0,Affected,Greece,GRC,Southern Europe,Europe,"Samos, Patmos",0,0,0,0,0,0,0,6,Richter,37.75,27,07:30,0,1904,8,11,1904,8,11,4,0,1620,0,1620,0,0,0,3.5223001018494,GREEN,GREEN,RED
